param N_paletes := 49;  # 49 paletes
param N_niveis := 54;   # 54 niveis
param N_rack := 18;
param HMaxRack := 600;


param Palete: 
	1	2	3	4	:=
1	257	109	800	31
2	257	109	800	31
3	258	79	800	29
4	258	79	800	29
5	259	79	800	29
6	259	79	800	29
7	260	61	800	23
8	261	61	800	23
9	262	79	800	15
10	262	39	800	15
11	263	79	800	15
12	263	39	800	15
13	264	79	800	12
14	265	109	800	11
15	265	49	800	11
16	266	109	800	11
17	266	49	800	11
18	267	79	800	11
19	268	79	800	10
20	268	39	800	10
21	269	79	800	10
22	269	39	800	10
23	270	59	800	10
24	271	59	800	10
25	272	39	800	7
26	273	109	800	7
27	273	109	800	7
28	273	109	800	7
29	273	109	800	7
30	273	109	800	7
31	273	49	800	7
32	274	109	800	7
33	274	109	800	7
34	274	109	800	7
35	274	109	800	7
36	274	109	800	7
37	274	49	800	7
38	275	109	800	7
39	275	109	800	7
40	276	109	800	5
41	276	109	800	5
42	277	109	800	5
43	277	109	800	5
44	278	39	800	4
45	279	59	800	3
46	280	109	800	3
47	280	109	800	3
48	281	109	800	2
49	281	109	800	2	;


param Nivel:
	1	2	3	:=
1	1	3200	1
2	2	3200	1
3	3	3200	1
4	2	3200	2
5	3	3200	2
6	4	3200	2
7	3	3200	3
8	4	3200	3
9	5	3200	3
10	1	3200	4
11	2	3200	4
12	3	3200	4
13	2	3200	5
14	3	3200	5
15	4	3200	5
16	3	3200	6
17	4	3200	6
18	5	3200	6
19	2	3200	7
20	3	3200	7
21	4	3200	7
22	3	3200	8
23	4	3200	8
24	5	3200	8
25	4	3200	9
26	5	3200	9
27	6	3200	9
28	2	3200	10
29	3	3200	10
30	4	3200	10
31	3	3200	11
32	4	3200	11
33	5	3200	11
34	4	3200	12
35	5	3200	12
36	6	3200	12
37	3	3200	13
38	4	3200	13
39	5	3200	13
40	4	3200	14
41	5	3200	14
42	6	3200	14
43	5	3200	15
44	6	3200	15
45	7	3200	15
46	3	3200	16
47	4	3200	16
48	5	3200	16
49	4	3200	17
50	5	3200	17
51	6	3200	17
52	5	3200	18
53	6	3200	18
54	7	3200	18	;
